
Host: RishiLaptop

Timers On : Sun Nov 16 14:02:52 2025
Timers Off: Sun Nov 16 14:03:15 2025

Wall Time:       22.87 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: RishiLaptop

Timers On : Sun Nov 16 14:36:31 2025
Timers Off: Sun Nov 16 14:37:19 2025

Wall Time:       48.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: RishiLaptop

Timers On : Sun Nov 16 14:48:38 2025
Timers Off: Sun Nov 16 14:49:01 2025

Wall Time:       22.77 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Nov 22 21:10:00 2025
Timers Off: Sat Nov 22 21:10:05 2025

Wall Time:        4.77 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.053w      5 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.138w     35 calls
DFH: initialize()                   :      0.000u      0.000s      0.431w      5 calls
DFH: AO Construction                :      0.000u      0.000s      0.172w      5 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.108w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.014w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w      5 calls
HF: Guess                           :      0.000u      0.000s      0.037w      5 calls
SAD Guess                           :      0.000u      0.000s      0.035w      1 calls
HF: Form G                          :      0.000u      0.000s      0.278w     51 calls
JK: D                               :      0.000u      0.000s      0.001w     51 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     51 calls
JK: JK                              :      0.000u      0.000s      0.274w     51 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.274w     51 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     51 calls
DFH: compute_J                      :      0.000u      0.000s      0.049w     51 calls
DFH: compute_K                      :      0.000u      0.000s      0.201w     51 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     51 calls
